S.No,S#,Country,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Price Per Liter (PKR),GDP Per Capita ( USD ),Gallons GDP Per Capita Can Buy,xTimes Yearly Gallons Per Capita Buy,iso_code
169,170,Vanuatu,"1,100",0,60.6,4.92,1.3,274.95,"2,783",566,9,VUT
90,91,Yemen,"60,000",0,33.9,1.96,0.52,109.35,824,420,12,YEM
29,30,South Africa,"640,000",1,174.6,5.59,1.48,312.6,"5,091",911,5,ZAF
138,139,Zambia,"22,000",0,20.6,5.59,1.48,312.6,"1,051",188,9,ZMB
183,183,Congo,"24,000",0,26.2,4.99,1.62,342.42,"1,128",184,7,COD
119,120,Zimbabwe,"24,000",0,26.2,6.13,1.62,342.42,"1,128",184,7,ZWE
0,1,United States,"19,687,287",20,934.3,5.19,1.37,289.97,"63,414","12,218",13,USA
7,8,South Korea,"2,605,440",3,783.4,6.09,1.61,340.52,"31,632","5,194",7,KOR
49,50,Libya,"223,000",0,526.6,0.12,0.03,6.56,"3,699","30,825",59,LBY
56,57,Czech Republic (Czechia),"179,956",0,259.8,7.56,2,422.15,"22,932","3,033",12,CZH
69,70,Syria,"140,000",0,122.9,1.08,0.29,60.49,"2,033","1,882",15,SYR
87,88,Tanzania,"71,999",0,20.8,4.86,1.28,271.57,"1,077",222,11,TZA
121,122,State of Palestine,"24,001",0,79.4,6.62,1.75,370.13,"3,240",489,6,PSE
125,126,Brunei ,"16,000",0,584.3,0.83,0.22,46.53,"27,443","33,064",57,BRN
127,128,DR Congo,"21,000",0,4.1,4.43,1.17,247.46,557,126,31,COG
133,134,Moldova,"18,001",0,67.9,6.75,1.78,376.89,"4,551",674,10,MDA
139,140,Laos,"18,000",0,40.3,7.23,1.91,403.75,"2,630",364,9,LAO
142,143,North Macedonia,"21,000",0,154.7,7.12,1.88,397.62,"5,888",827,5,MKD
147,148,North Korea,"18,000",0,10.9,54.89,14.5,3066.75,"1,300",24,2,PKR
150,151,South Sudan,"8,001",0,11.3,4.8,1.27,268.18,"1,120",233,21,SSD
162,163,Cabo Verde,"5,600",0,161.6,6.86,1.81,383.24,"3,064",447,3,CPV
165,166,British Virgin Islands,"1,240",0,647.6,3.6,0.95,200.93,"34,246","9,513",15,VGB
170,171,Saint Helena,70,0,180.2,5.53,1.46,309.21,"7,800","1,410",8,SHN
178,179,Saint Pierre & Miquelon,660,0,1705.1,8.27,2.19,462.13,"34,900","4,220",2,SPM
,,Antartica,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,ATA
,,Greenland,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,GRL
