Country Name,Country ISO Code,Indicator Name,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
France,FRA,Pump price for gasoline (US$ per liter),1.11,0.99,1.05,1.42,1.48,1.52,1.98,1.91,1.79,1.39,1.65,1.72
Gabon,GAB,Pump price for gasoline (US$ per liter),0.63,0.53,0.69,0.9,0.64,1.14,1.08,1.04,1.02,0.92,0.98,1
United Kingdom,GBR,Pump price for gasoline (US$ per liter),1.11,1.17,1.18,1.56,1.63,1.44,1.92,2.17,1.92,1.46,1.815,1.868
Georgia,GEO,Pump price for gasoline (US$ per liter),0.46,0.51,0.48,0.73,0.86,1.09,1.13,1.34,1.24,0.76,1.05,1.145
Ghana,GHA,Pump price for gasoline (US$ per liter),0.32,0.2,0.28,0.49,0.86,0.9,0.82,0.92,1.06,0.92,0.92,0.99
Gibraltar,GIB,Pump price for gasoline (US$ per liter),0.84,0.73,0.83,1.21,1.15,1.23,1.56,1.75,1.63,1.26,1.505,1.568
Guinea,GIN,Pump price for gasoline (US$ per liter),0.68,0.85,0.66,0.75,0.79,1.02,0.95,1.34,1.45,0.9,1.12,1.285
"Gambia, The",GMB,Pump price for gasoline (US$ per liter),0.83,0.64,0.46,0.75,1.08,0.79,0.81,1.11,1.37,1.18,0.59,0.98
Greece,GRC,Pump price for gasoline (US$ per liter),0.65,0.72,0.78,1.14,1.16,1.23,2.05,2.06,1.98,1.54,1.8,1.89
Grenada,GRD,Pump price for gasoline (US$ per liter),0.54,0.54,0.54,0.73,0.89,1.28,1.02,1.4,1.31,1.12,1.26,0.63
Greenland,GRL,Pump price for gasoline (US$ per liter),0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Guatemala,GTM,Pump price for gasoline (US$ per liter),0.41,0.53,0.48,0.68,0.78,0.86,0.95,1.14,1.01,0.79,0.965,0.988
Guyana,GUY,Pump price for gasoline (US$ per liter),0.3,0.37,0.31,0.74,0.81,0.84,0.93,1.08,1.15,0.9,0.99,1.07
High income,HIC,Pump price for gasoline (US$ per liter),0.72,0.76,0.83,1.135,1.26,1.27,1.59,1.83,1.645,1.225,1.528,1.586
"Hong Kong SAR, China",HKG,Pump price for gasoline (US$ per liter),1.36,1.46,1.47,1.54,1.69,1.95,1.92,2.16,2.06,1.86,2.01,2.035
Honduras,HND,Pump price for gasoline (US$ per liter),0.5,0.62,0.63,0.81,0.89,0.8,1.04,1.25,1.2,0.98,1.115,1.158
Heavily indebted poor countries (HIPC),HPC,Pump price for gasoline (US$ per liter),0.59,0.675,0.66,0.88,1.06,1.13,1.2,1.28,1.29,0.96,1.12,1.205
Croatia,HRV,Pump price for gasoline (US$ per liter),0.67,0.76,0.89,1.24,1.34,1.27,1.59,1.77,1.66,1.26,1.515,1.588
